,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,date,change,changePercent
2017-01-03,225.24,225.83,223.8837,225.04,SPY,91366522,HISTORICAL_PRICES,SPY,,1648509648000,0.5904533258014405,0.5904533258014405,225.04,225.24,225.83,223.8837,91366522,205.3273,205.5098,206.0481,204.2723,91366522,"Jan 3, 17",1.710000000000008,0.0076
2017-01-04,226.58,226.75,225.61,225.62,SPY,78744433,HISTORICAL_PRICES,SPY,,1648509765000,0.5999152662053383,0.5999152662053383,225.62,226.58,226.75,225.61,78744433,205.8565,206.7324,206.8876,205.8474,78744433,"Jan 4, 17",1.3400000000000034,0.0059
2017-01-05,226.4,226.58,225.48,226.27,SPY,78379012,HISTORICAL_PRICES,SPY,,1648509711000,0.5986442592854117,0.5986442592854117,226.27,226.4,226.58,225.48,78379012,206.4496,206.5682,206.7324,205.7288,78379012,"Jan 5, 17",-0.18000000000000682,-0.0008
2017-01-06,227.21,227.75,225.9,226.53,SPY,71559922,HISTORICAL_PRICES,SPY,,1648509596000,0.6043637904250813,0.6043637904250813,226.53,227.21,227.75,225.9,71559922,206.6868,207.3073,207.8,206.112,71559922,"Jan 6, 17",0.8100000000000023,0.0036
2017-01-09,226.46,227.0701,226.4163,226.91,SPY,46939676,HISTORICAL_PRICES,SPY,,1648509418000,0.5990679282587206,0.5990679282587206,226.91,226.46,227.0701,226.4163,46939676,207.0335,206.623,207.1796,206.5831,46939676,"Jan 9, 17",-0.75,-0.0033
2017-01-10,226.46,227.45,226.01,226.48,SPY,63771939,HISTORICAL_PRICES,SPY,,1648509393000,0.5990679282587206,0.5990679282587206,226.48,226.46,227.45,226.01,63771939,206.6412,206.623,207.5262,206.2124,63771939,"Jan 10, 17",0,0
2017-01-11,227.1,227.1,225.59,226.36,SPY,74650016,HISTORICAL_PRICES,SPY,,1648509692000,0.6035870639740148,0.6035870639740148,226.36,227.1,227.1,225.59,74650016,206.5317,207.2069,207.2069,205.8292,74650016,"Jan 11, 17",0.6399999999999864,0.0028
2017-01-12,226.53,226.75,224.955,226.5,SPY,72113181,HISTORICAL_PRICES,SPY,,1648509711000,0.5995622087275808,0.5995622087275808,226.5,226.53,226.75,224.955,72113181,206.6595,206.6868,206.8876,205.2498,72113181,"Jan 12, 17",-0.5699999999999932,-0.0025
2017-01-13,227.05,227.4,226.69,226.73,SPY,62717865,HISTORICAL_PRICES,SPY,,1648509377000,0.6032340064962576,0.6032340064962576,226.73,227.05,227.4,226.69,62717865,206.8693,207.1613,207.4806,206.8328,62717865,"Jan 13, 17",0.5200000000000102,0.0023
2017-01-17,226.25,226.78,225.8,226.31,SPY,61240814,HISTORICAL_PRICES,SPY,,1648509538000,0.5975850868521395,0.5975850868521395,226.31,226.25,226.78,225.8,61240814,206.4861,206.4314,206.9149,206.0208,61240814,"Jan 17, 17",-0.8000000000000114,-0.0035
2017-01-18,226.75,226.8,225.9,226.535,SPY,54793302,HISTORICAL_PRICES,SPY,,1648509765000,0.6011156616297133,0.6011156616297133,226.535,226.75,226.8,225.9,54793302,206.6914,206.8876,206.9332,206.112,54793302,"Jan 18, 17",0.5,0.0022
2017-01-19,225.91,227,225.41,226.84,SPY,66608787,HISTORICAL_PRICES,SPY,,1648509729000,0.5951842960033893,0.5951842960033893,226.84,225.91,227,225.41,66608787,206.9697,206.1211,207.1157,205.6649,66608787,"Jan 19, 17",-0.8400000000000034,-0.0037
2017-01-20,226.74,227.31,225.9719,226.7,SPY,129168623,HISTORICAL_PRICES,SPY,,1648509596000,0.6010450501341619,0.6010450501341619,226.7,226.74,227.31,225.9719,129168623,206.8419,206.8784,207.3985,206.1776,129168623,"Jan 20, 17",0.8300000000000125,0.0037
2017-01-23,226.15,226.805,225.27,226.35,SPY,75061645,HISTORICAL_PRICES,SPY,,1648509765000,0.5968789718966248,0.5968789718966248,226.35,226.15,226.805,225.27,75061645,206.5226,206.3401,206.9377,205.5372,75061645,"Jan 23, 17",-0.5900000000000034,-0.0026
2017-01-24,227.6,228.08,226.27,226.4,SPY,95555295,HISTORICAL_PRICES,SPY,,1648509692000,0.6071176387515886,0.6071176387515886,226.4,227.6,228.08,226.27,95555295,206.5682,207.6631,208.1011,206.4496,95555295,"Jan 24, 17",1.4499999999999886,0.0064
2017-01-25,229.57,229.57,228.51,228.7,SPY,84437712,HISTORICAL_PRICES,SPY,,1648509418000,0.6210281033752294,0.6210281033752294,228.7,229.57,229.57,228.51,84437712,208.6667,209.4605,209.4605,208.4934,84437712,"Jan 25, 17",1.9699999999999989,0.0087
2017-01-26,229.33,229.71,229.01,229.4,SPY,59970719,HISTORICAL_PRICES,SPY,,1648509393000,0.6193334274819942,0.6193334274819942,229.4,229.33,229.71,229.01,59970719,209.3054,209.2416,209.5883,208.9496,59970719,"Jan 26, 17",-0.23999999999998067,-0.001
