date,Real,Predicted
2017-01-10,226.46,237.15323
2017-01-11,227.1,237.44249
2017-01-12,226.53,237.47089
2017-01-13,227.05,237.54378
2017-01-17,226.25,237.44846
2017-01-18,226.75,237.49373
2017-01-19,225.91,237.54315
2017-01-20,226.74,237.40921
2017-01-23,226.15,237.40129
2017-01-24,227.6,237.2568
2017-01-25,229.57,237.34369
2017-01-26,229.33,237.48053
2017-01-27,228.97,237.96033
2017-01-30,227.55,238.35196
2017-01-31,227.53,238.86925
2017-02-01,227.62,239.03513
2017-02-02,227.77,238.70726
2017-02-03,229.34,238.38715
2017-02-06,228.93,238.19292
2017-02-07,228.94,238.37312
2017-02-08,229.24,238.61263
2017-02-09,230.6,238.88434
2017-02-10,231.51,239.24261
2017-02-13,232.77,239.39432
2017-02-14,233.7,239.81929
2017-02-15,234.92,240.45456
2017-02-16,234.72,241.26842
2017-02-17,235.09,241.96251
2017-02-21,236.49,242.59264
2017-02-22,236.28,243.10368
2017-02-23,236.44,243.53046
2017-02-24,236.74,243.76086
2017-02-27,237.11,244.10567
2017-02-28,236.47,244.44804
2017-03-01,239.78,244.48715
2017-03-02,238.27,244.74025
2017-03-03,238.42,245.06358
2017-03-06,237.71,245.38567
2017-03-07,237.0,245.61671
2017-03-08,236.56,245.96162
2017-03-09,236.86,245.44386
2017-03-10,237.69,245.19623
2017-03-13,237.81,244.91336
2017-03-14,236.9,244.82042
2017-03-15,238.95,244.87764
2017-03-16,238.48,245.12665
2017-03-17,237.03,245.39072
2017-03-20,236.77,245.43912
2017-03-21,233.73,245.38107
2017-03-22,234.28,245.32358
2017-03-23,234.03,244.5969
2017-03-24,233.86,243.80302
2017-03-27,233.62,243.2238
2017-03-28,235.32,242.59964
2017-03-29,235.54,242.70682
2017-03-30,236.29,242.78111
2017-03-31,235.74,243.0269
2017-04-03,235.33,243.3822
2017-04-04,235.48,243.82695
2017-04-05,234.78,243.89279
2017-04-06,235.44,243.8679
2017-04-07,235.2,243.652
2017-04-10,235.34,243.5421
2017-04-11,235.06,243.5268
